,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
3368,Entire home/apt,4,1.0,2.0,2.0,Real Bed,150.0,790.0,200.0,70.0,4,50.0,2,21,51,76,76,4.0,100.0,9.0,10.0,10.0,10.0,9.0,10.0,1,strict
3369,Entire home/apt,4,2.0,2.0,2.0,Real Bed,229.0,800.0,290.0,110.0,1,0.0,2,14,16,46,316,2.0,90.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict
3370,Private room,2,1.0,1.0,1.0,Real Bed,50.0,800.0,290.0,65.0,1,0.0,2,23,49,79,354,17.0,96.0,9.0,9.0,10.0,10.0,10.0,10.0,0,moderate
3371,Entire home/apt,6,3.5,3.0,3.0,Real Bed,630.0,800.0,1000.0,120.0,1,0.0,4,8,23,53,328,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
3372,Shared room,3,1.0,1.0,1.0,Real Bed,105.0,800.0,100.0,75.0,1,10.0,1,30,60,90,365,3.0,87.0,9.0,9.0,9.0,10.0,9.0,7.0,0,moderate
3373,Entire home/apt,5,1.0,2.0,2.0,Real Bed,250.0,1500.0,500.0,100.0,1,0.0,2,0,0,0,154,7.0,93.0,10.0,10.0,9.0,9.0,9.0,10.0,0,strict
3374,Shared room,2,1.0,1.0,2.0,Real Bed,150.0,800.0,290.0,10.0,2,50.0,2,30,60,90,365,2.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,moderate
3375,Entire home/apt,8,2.0,3.0,1.0,Real Bed,229.0,800.0,290.0,135.0,1,0.0,2,20,43,73,326,7.0,88.0,10.0,9.0,10.0,10.0,10.0,9.0,0,strict
3376,Entire home/apt,4,1.0,2.0,2.0,Real Bed,195.0,1250.0,250.0,85.0,4,25.0,2,8,22,52,300,124.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,0,moderate
3377,Private room,2,1.0,1.0,1.0,Real Bed,55.0,800.0,290.0,65.0,1,10.0,2,21,49,79,354,61.0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,0,strict
